1.LAYING 2.LAYING 3.LAYING 4.LAYING 5.LAYING 6.LAYING 7.LAYING 8.LAYING 9.LAYING 10.LAYING 11.LAYING 12.LAYING 13.LAYING 14.LAYING 15.LAYING 16.LAYING 17.LAYING 18.LAYING 19.LAYING 20.LAYING 21.LAYING 22.LAYING 23.LAYING 24.LAYING 25.LAYING 26.LAYING 27.LAYING 28.LAYING 29.LAYING 30.LAYING 1.SITTING 2.SITTING 3.SITTING 4.SITTING 5.SITTING 6.SITTING 7.SITTING 8.SITTING 9.SITTING 10.SITTING 11.SITTING 12.SITTING 13.SITTING 14.SITTING 15.SITTING 16.SITTING 17.SITTING 18.SITTING 19.SITTING 20.SITTING 21.SITTING 22.SITTING 23.SITTING 24.SITTING 25.SITTING 26.SITTING 27.SITTING 28.SITTING 29.SITTING 30.SITTING 1.STANDING 2.STANDING 3.STANDING 4.STANDING 5.STANDING 6.STANDING 7.STANDING 8.STANDING 9.STANDING 10.STANDING 11.STANDING 12.STANDING 13.STANDING 14.STANDING 15.STANDING 16.STANDING 17.STANDING 18.STANDING 19.STANDING 20.STANDING 21.STANDING 22.STANDING 23.STANDING 24.STANDING 25.STANDING 26.STANDING 27.STANDING 28.STANDING 29.STANDING 30.STANDING 1.WALKING 2.WALKING 3.WALKING 4.WALKING 5.WALKING 6.WALKING 7.WALKING 8.WALKING 9.WALKING 10.WALKING 11.WALKING 12.WALKING 13.WALKING 14.WALKING 15.WALKING 16.WALKING 17.WALKING 18.WALKING 19.WALKING 20.WALKING 21.WALKING 22.WALKING 23.WALKING 24.WALKING 25.WALKING 26.WALKING 27.WALKING 28.WALKING 29.WALKING 30.WALKING 1.WALKING_DOWNSTAIRS 2.WALKING_DOWNSTAIRS 3.WALKING_DOWNSTAIRS 4.WALKING_DOWNSTAIRS 5.WALKING_DOWNSTAIRS 6.WALKING_DOWNSTAIRS 7.WALKING_DOWNSTAIRS 8.WALKING_DOWNSTAIRS 9.WALKING_DOWNSTAIRS 10.WALKING_DOWNSTAIRS 11.WALKING_DOWNSTAIRS 12.WALKING_DOWNSTAIRS 13.WALKING_DOWNSTAIRS 14.WALKING_DOWNSTAIRS 15.WALKING_DOWNSTAIRS 16.WALKING_DOWNSTAIRS 17.WALKING_DOWNSTAIRS 18.WALKING_DOWNSTAIRS 19.WALKING_DOWNSTAIRS 20.WALKING_DOWNSTAIRS 21.WALKING_DOWNSTAIRS 22.WALKING_DOWNSTAIRS 23.WALKING_DOWNSTAIRS 24.WALKING_DOWNSTAIRS 25.WALKING_DOWNSTAIRS 26.WALKING_DOWNSTAIRS 27.WALKING_DOWNSTAIRS 28.WALKING_DOWNSTAIRS 29.WALKING_DOWNSTAIRS 30.WALKING_DOWNSTAIRS 1.WALKING_UPSTAIRS 2.WALKING_UPSTAIRS 3.WALKING_UPSTAIRS 4.WALKING_UPSTAIRS 5.WALKING_UPSTAIRS 6.WALKING_UPSTAIRS 7.WALKING_UPSTAIRS 8.WALKING_UPSTAIRS 9.WALKING_UPSTAIRS 10.WALKING_UPSTAIRS 11.WALKING_UPSTAIRS 12.WALKING_UPSTAIRS 13.WALKING_UPSTAIRS 14.WALKING_UPSTAIRS 15.WALKING_UPSTAIRS 16.WALKING_UPSTAIRS 17.WALKING_UPSTAIRS 18.WALKING_UPSTAIRS 19.WALKING_UPSTAIRS 20.WALKING_UPSTAIRS 21.WALKING_UPSTAIRS 22.WALKING_UPSTAIRS 23.WALKING_UPSTAIRS 24.WALKING_UPSTAIRS 25.WALKING_UPSTAIRS 26.WALKING_UPSTAIRS 27.WALKING_UPSTAIRS 28.WALKING_UPSTAIRS 29.WALKING_UPSTAIRS 30.WALKING_UPSTAIRS
tGravityAcc.std.Y -0.90772 -0.988212 -0.981203 -0.969817 -0.985964 -0.959162 -0.955544 -0.95799 -0.969994 -0.966701 -0.990766 -0.974396 -0.975948 -0.948775 -0.986036 -0.966087 -0.961467 -0.994094 -0.986993 -0.976018 -0.983733 -0.958827 -0.982795 -0.993454 -0.643578 -0.987888 -0.993702 -0.969759 -0.994248 -0.988931 -0.935517 -0.95675 -0.903923 -0.932727 -0.939943 -0.960876 -0.945436 -0.937462 -0.946452 -0.93569 -0.949793 -0.963642 -0.951353 -0.950323 -0.943561 -0.968023 -0.96672 -0.984035 -0.96997 -0.966984 -0.979355 -0.954225 -0.960917 -0.971693 -0.963415 -0.949287 -0.982553 -0.971766 -0.973604 -0.959361 -0.981226 -0.974194 -0.957425 -0.917613 -0.931974 -0.968449 -0.966163 -0.958904 -0.972574 -0.975411 -0.981048 -0.970483 -0.974681 -0.965781 -0.965688 -0.980552 -0.97581 -0.981336 -0.971427 -0.957463 -0.977681 -0.971081 -0.984819 -0.968155 -0.980643 -0.966986 -0.979641 -0.962801 -0.985134 -0.958146 -0.971306 -0.972117 -0.962356 -0.967963 -0.961585 -0.964249 -0.969404 -0.956782 -0.971242 -0.971115 -0.966241 -0.964619 -0.9609 -0.954456 -0.971057 -0.973785 -0.968613 -0.975312 -0.958651 -0.962003 -0.964145 -0.963639 -0.966551 -0.962579 -0.965093 -0.96904 -0.973793 -0.968781 -0.975273 -0.970177 -0.937019 -0.940069 -0.946095 -0.932066 -0.912363 -0.933578 -0.952679 -0.941581 -0.936307 -0.937004 -0.92631 -0.943298 -0.928544 -0.920726 -0.925686 -0.955488 -0.946577 -0.932962 -0.917881 -0.908577 -0.940112 -0.945824 -0.939013 -0.941479 -0.937816 -0.935426 -0.934964 -0.948404 -0.913903 -0.918679 -0.952849 -0.923767 -0.909826 -0.923376 -0.900512 -0.912901 -0.939774 -0.931032 -0.901317 -0.937039 -0.924361 -0.941378 -0.922055 -0.907231 -0.927649 -0.933657 -0.915973 -0.942057 -0.901045 -0.924594 -0.941524 -0.94162 -0.910475 -0.916691 -0.931758 -0.937858 -0.947713 -0.927641 -0.923008 -0.914934
tGravityAcc.std.Z -0.852366 -0.98423 -0.964808 -0.976177 -0.977077 -0.928131 -0.961909 -0.941836 -0.971205 -0.963046 -0.984193 -0.959644 -0.959893 -0.901304 -0.95071 -0.967886 -0.957165 -0.990957 -0.988819 -0.976519 -0.952416 -0.952435 -0.97678 -0.97924 -0.610161 -0.984082 -0.989056 -0.979125 -0.985778 -0.983275 -0.949041 -0.954416 -0.897736 -0.950949 -0.945009 -0.955476 -0.868603 -0.935475 -0.885854 -0.966899 -0.971662 -0.956209 -0.93098 -0.938416 -0.952974 -0.945814 -0.956611 -0.97834 -0.960395 -0.935855 -0.965426 -0.927951 -0.923954 -0.963407 -0.96946 -0.944581 -0.967268 -0.956088 -0.966032 -0.956636 -0.976324 -0.945927 -0.928162 -0.899405 -0.914608 -0.942795 -0.939161 -0.918294 -0.932245 -0.95958 -0.989433 -0.939534 -0.976827 -0.940758 -0.95881 -0.959563 -0.969172 -0.976044 -0.958862 -0.942437 -0.95859 -0.95889 -0.9472 -0.946185 -0.967793 -0.964228 -0.96817 -0.951782 -0.984465 -0.949207 -0.947717 -0.972073 -0.952092 -0.962968 -0.964581 -0.957205 -0.95216 -0.95664 -0.955524 -0.957863 -0.960853 -0.950276 -0.948638 -0.947517 -0.958059 -0.961387 -0.956903 -0.972484 -0.929188 -0.95385 -0.974939 -0.955148 -0.932981 -0.962823 -0.944996 -0.966232 -0.956593 -0.944225 -0.945981 -0.943958 -0.89594 -0.931438 -0.899944 -0.937754 -0.927193 -0.934379 -0.928756 -0.89719 -0.876641 -0.902085 -0.925815 -0.935399 -0.893963 -0.879565 -0.934008 -0.910589 -0.901098 -0.921662 -0.899363 -0.919694 -0.916325 -0.906594 -0.905888 -0.942208 -0.926192 -0.933082 -0.920922 -0.91706 -0.869301 -0.877667 -0.912379 -0.878004 -0.90947 -0.919619 -0.92142 -0.906196 -0.881676 -0.876169 -0.894071 -0.864746 -0.906933 -0.938071 -0.910271 -0.875451 -0.921618 -0.90765 -0.93016 -0.90784 -0.836936 -0.904064 -0.932716 -0.913154 -0.902066 -0.934953 -0.882722 -0.929637 -0.926675 -0.900514 -0.858849 -0.862403
tBodyAccJerk.mean.X 0.081087 0.082597 0.076981 0.093449 0.084816 0.096348 0.09689 0.087833 0.088073 0.073815 0.076665 0.08543 0.076777 0.09814 0.076752 0.078396 0.077909 0.074999 0.077232 0.089272 0.082015 0.07522 0.083179 0.080721 0.087907 0.08665 0.076627 0.078077 0.071886 0.07522 0.077483 0.072256 0.07261 0.07845 0.074958 0.075472 0.066852 0.078671 0.077005 0.077537 0.076178 0.077128 0.075287 0.074188 0.078479 0.073435 0.075071 0.076623 0.075375 0.074657 0.075711 0.080769 0.077002 0.076332 0.075209 0.076444 0.077904 0.076867 0.074544 0.076006 0.075377 0.074759 0.07509 0.072133 0.072519 0.07307 0.075192 0.075374 0.076003 0.080978 0.07601 0.074463 0.075863 0.073793 0.075228 0.073644 0.074086 0.075354 0.075412 0.076356 0.075454 0.075232 0.075021 0.074618 0.075234 0.075358 0.07497 0.075313 0.075305 0.075241 0.074042 0.061808 0.081475 0.078353 0.084589 0.069959 0.090146 0.070339 0.070436 0.085794 0.082971 0.045764 0.080959 0.072088 0.089777 0.077022 0.077319 0.076752 0.082225 0.084123 0.078225 0.062778 0.098732 0.073194 0.072172 0.06523 0.068433 0.093112 0.085374 0.068869 0.054155 0.110041 0.072569 0.097186 0.109651 0.103681 0.096893 0.118938 0.130193 0.100959 0.089717 0.06215 0.101705 0.042863 0.071146 0.090786 0.118251 0.080904 0.073093 0.069503 0.090145 0.101585 0.057801 0.080262 0.110657 0.111471 0.093627 0.097265 0.063687 0.088393 0.101373 0.074451 0.042688 0.056097 0.079544 0.072107 0.072465 0.081382 0.069227 0.064883 0.096856 0.072866 0.069244 0.08033 0.072972 0.076253 0.076804 0.08124 0.083155 0.083645 0.104034 0.087717 0.072365 0.086231 0.074004 0.075565 0.073476 0.070683 0.106345 0.057984
tBodyAccJerk.mean.Y 0.003838 0.012255 0.013804 0.006933 0.007475 -0.001145 0.025062 0.02333 0.011562 0.015699 0.012219 0.007744 0.018344 -0.008315 0.012398 0.013281 0.007069 0.011702 0.01115 0.001108 0.011994 0.004598 0.015351 0.011982 0.028462 0.012442 0.012649 0.00594 0.011691 0.010768 -0.000619 0.011695 0.002725 -0.010858 -0.002788 3e-06 0.011686 -0.006575 0.009817 0.008979 -0.000214 0.010599 -0.001123 -0.004362 -0.008984 0.009856 0.00561 0.006946 0.013792 0.005974 0.012102 -0.000843 0.010135 0.004767 0.004854 0.006922 0.004671 0.014834 0.005985 0.009757 0.007976 0.010329 0.007717 -0.00653 -0.00222 0.008719 0.006947 0.00815 0.01307 0.011901 0.012413 0.010048 0.00762 0.005796 0.006173 0.012077 0.006579 0.01047 0.009913 0.011693 0.010062 0.010729 0.010586 0.010984 0.006632 0.008173 0.012243 0.009074 0.01151 0.012086 0.028272 0.018249 0.010059 0.002956 -0.016319 -0.016483 0.018432 -0.006039 0.021226 0.004082 0.012768 0.019777 0.003084 0.024116 0.008906 0.009684 0.01301 0.028275 0.014411 -0.021062 0.002352 0.035675 0.014896 0.012125 0.003511 0.019671 0.001612 0.022649 0.022387 0.021966 0.02965 -0.00328 0.010971 0.005638 0.013762 0.009877 -0.019106 -0.038019 -0.020687 0.010782 0.025227 -0.011929 -0.007519 0.029134 0.015116 -0.014811 -0.011383 -0.000757 -0.038687 0.004364 -0.0214 0.021113 0.037501 -0.004473 -0.019542 -0.007132 0.015987 0.014345 0.000621 -0.007561 0.019486 -0.00971 0.039725 0.023402 0.014013 0.003713 -0.000812 0.014121 0.001266 0.026631 -0.013263 -0.006895 -0.00128 -0.018313 -0.004174 0.017373 0.030836 0.021165 0.056819 0.0066 -0.015629 0.036708 0.039986 -0.015082 0.009255 0.002092 -0.014023 0.022299 -0.000689 -0.003587
tBodyAccJerk.mean.Z 0.010834 -0.001803 -0.004356 -0.006411 -0.003041 0.003288 -0.013165 -0.016922 -0.007054 0.007167 0.002777 -0.004371 -0.009884 -0.03236 -0.004439 -0.001541 -0.000144 -0.001213 -0.000989 -0.003099 -0.013905 -0.004674 -0.006282 -0.005892 -0.030718 -0.006148 -0.000686 0.00601 0.002415 -0.000374 -0.003368 0.007605 -0.004233 -0.01215 0.003386 0.006237 0.0162 -0.010681 -0.008675 -0.004996 0.008334 -0.002046 -0.02324 -0.010574 -0.002372 -0.011503 -0.001554 0.002788 0.001731 0.001601 -0.000175 -0.012685 -0.001488 -0.001133 0.002108 -0.007802 -0.006113 0.000258 0.003168 -0.002782 -0.003685 -0.008372 -0.008072 -0.021189 -0.012281 -0.004817 -0.010842 0.003222 -0.004701 -0.004858 -0.000746 -0.007881 -0.000705 -0.007208 -0.006587 -0.004763 -0.004036 -0.001816 0.001292 -0.006137 -0.003321 -0.006263 -0.005293 -0.003588 -0.006228 -0.002195 -0.00138 -0.002678 0.000333 0.001908 -0.004168 0.007895 -0.005623 -0.000768 8.3e-05 -0.007389 -0.02104 -0.000674 0.004148 -0.016295 -0.013365 0.005026 0.005972 0.019972 0.000659 0.003608 0.024375 0.010685 -0.032753 0.006345 -0.010181 0.004437 -0.001908 -0.01164 -0.003351 -0.006183 -0.020752 -0.007629 0.009415 -0.007395 -0.010972 -0.020935 -0.002027 -0.007291 0.02134 -0.009325 -0.016039 -0.039436 0.002626 0.000153 -0.022521 0.004853 -0.025298 0.010495 -0.010021 -0.029312 -0.009398 -0.014177 -0.009552 -0.002535 -0.012555 0.01125 -0.000983 -0.008469 -0.011335 -0.011891 -0.00985 0.00124 -0.014064 -0.01183 -0.045563 0.019481 0.020821 0.003403 -0.025591 -0.002378 -7.5e-05 -0.067458 0.00766 -0.051338 -0.015146 0.009067 -0.025413 0.003442 -0.005259 0.038053 0.007595 0.009359 0.031668 -0.024542 -0.036012 -0.033617 0.015923 -0.013235 -0.011691 -0.011709 0.006747 0.007491 -0.029071 0.016151
tBodyAccJerk.std.X -0.958482 -0.985872 -0.980879 -0.978303 -0.983308 -0.966341 -0.980978 -0.973253 -0.96474 -0.978007 -0.985259 -0.969276 -0.98542 -0.971474 -0.981739 -0.988417 -0.981489 -0.985921 -0.983605 -0.984271 -0.984827 -0.970355 -0.98636 -0.986365 -0.973323 -0.989316 -0.986472 -0.980165 -0.992006 -0.977464 -0.986431 -0.988056 -0.974467 -0.976742 -0.975205 -0.969929 -0.982158 -0.985189 -0.964536 -0.988946 -0.980335 -0.976494 -0.992827 -0.980891 -0.988162 -0.990861 -0.994341 -0.991625 -0.987043 -0.982078 -0.989439 -0.981664 -0.984562 -0.988564 -0.992279 -0.992258 -0.990658 -0.976287 -0.993526 -0.988865 -0.994605 -0.981086 -0.957086 -0.972587 -0.962647 -0.973133 -0.976404 -0.989199 -0.969973 -0.964311 -0.992527 -0.97244 -0.987636 -0.978249 -0.985459 -0.991026 -0.992094 -0.989437 -0.984792 -0.959528 -0.977063 -0.975639 -0.983142 -0.980574 -0.988313 -0.990498 -0.987628 -0.968605 -0.993653 -0.968431 -0.113616 -0.27753 -0.26868 -0.297043 -0.302891 -0.132785 -0.346026 -0.258689 -0.206734 -0.052199 -0.428516 -0.013507 -0.22091 -0.454497 -0.373218 -0.396224 -0.355493 -0.368057 0.110307 -0.090645 -0.114889 0.035879 -0.229328 -0.485863 -0.607621 -0.328453 -0.316184 -0.3357 -0.221434 -0.374401 -0.012284 0.147249 -0.085801 -0.14576 0.032242 0.165271 0.028503 0.250144 0.017623 0.223276 -0.083421 0.006319 -0.074091 0.01296 0.134594 -0.101187 -0.103436 -0.387224 0.544273 -0.1357 0.002147 0.086914 0.198947 -0.337219 -0.501968 -0.128112 -0.003583 -0.016765 -0.023953 -0.226644 -0.446844 -0.276122 -0.458365 -0.380488 -0.223897 -0.180301 -0.415153 -0.186619 -0.335292 -0.18722 -0.452962 -0.359857 -0.487326 -0.36878 -0.186945 -0.521089 -0.292666 -0.563202 -0.174279 -0.185695 -0.424052 -0.00854 -0.365399 -0.498765 -0.663643 -0.29088 -0.468066 -0.312672 -0.182366 -0.53542
tBodyAccJerk.std.Y -0.924149 -0.983173 -0.968711 -0.942209 -0.96456 -0.933674 -0.973093 -0.976521 -0.963997 -0.966931 -0.972777 -0.96264 -0.980152 -0.968128 -0.970922 -0.984867 -0.976961 -0.985554 -0.974525 -0.977003 -0.971585 -0.955152 -0.988612 -0.98243 -0.945687 -0.987183 -0.985159 -0.97868 -0.989514 -0.97105 -0.981372 -0.977984 -0.953631 -0.944596 -0.952786 -0.945144 -0.969459 -0.980785 -0.956778 -0.980757 -0.966767 -0.964047 -0.984268 -0.967828 -0.978127 -0.981801 -0.988637 -0.984003 -0.979268 -0.970897 -0.979003 -0.964783 -0.978046 -0.979574 -0.982871 -0.986215 -0.985097 -0.962219 -0.984055 -0.980421 -0.985649 -0.971059 -0.941687 -0.938355 -0.931217 -0.949362 -0.965811 -0.976442 -0.963849 -0.941329 -0.979428 -0.953203 -0.977704 -0.966362 -0.96772 -0.982622 -0.986661 -0.975278 -0.970543 -0.935606 -0.963921 -0.952303 -0.97522 -0.967746 -0.972272 -0.975935 -0.97583 -0.933768 -0.983338 -0.957319 0.067003 -0.016602 -0.044962 -0.221165 -0.09104 0.008089 -0.054745 0.233988 -0.27693 0.07508 -0.181419 -0.089405 0.056549 -0.34434 -0.031927 -0.425564 -0.093539 -0.320159 0.080927 0.244311 -0.034714 0.225542 -0.080502 -0.30222 -0.38262 -0.261864 -0.10409 -0.220123 -0.087175 -0.270709 -0.101601 0.126828 -0.111439 -0.146242 0.047361 0.276544 -0.29628 0.288141 -0.309442 -0.10502 -0.126817 0.062922 -0.149028 0.192792 0.015806 -0.261685 -0.304064 -0.447034 0.355307 0.289671 -0.079601 0.019861 -0.08833 -0.169292 -0.371662 -0.086405 -0.138528 0.026553 -0.077341 -0.194656 -0.378274 -0.185649 -0.25168 -0.281543 -0.125027 -0.041399 -0.519898 -0.01235 -0.586147 -0.177803 -0.428119 -0.311329 -0.323334 -0.336427 -0.311861 -0.425626 -0.349792 -0.567941 -0.012887 -0.26079 -0.20321 -0.057578 -0.328225 -0.515221 -0.627131 -0.399771 -0.426833 -0.331602 -0.388624 -0.587215
tBodyAccJerk.std.Z -0.954855 -0.988442 -0.982093 -0.978512 -0.985419 -0.959646 -0.972983 -0.966088 -0.958562 -0.976257 -0.982112 -0.970629 -0.983071 -0.972432 -0.978403 -0.987644 -0.982813 -0.99066 -0.98826 -0.984989 -0.983978 -0.974527 -0.984663 -0.983087 -0.967836 -0.989065 -0.989685 -0.973072 -0.993288 -0.979518 -0.987911 -0.987518 -0.974662 -0.979039 -0.973437 -0.958573 -0.972256 -0.985286 -0.961889 -0.988256 -0.983442 -0.979113 -0.987612 -0.976133 -0.987011 -0.983487 -0.990529 -0.990153 -0.986705 -0.976522 -0.985824 -0.978928 -0.975979 -0.984663 -0.988433 -0.990009 -0.988904 -0.976327 -0.990169 -0.988164 -0.992251 -0.982841 -0.97306 -0.973054 -0.963832 -0.967547 -0.97206 -0.982611 -0.970584 -0.976431 -0.990133 -0.975557 -0.986926 -0.970767 -0.985302 -0.988074 -0.991217 -0.988455 -0.986142 -0.958936 -0.977916 -0.981478 -0.973595 -0.977716 -0.987063 -0.986693 -0.987355 -0.969765 -0.990594 -0.968897 -0.5027 -0.58609 -0.529486 -0.751391 -0.612895 -0.575777 -0.149489 -0.383201 -0.409765 -0.511663 -0.720655 -0.512277 -0.374633 -0.472791 -0.686268 -0.440258 -0.534303 -0.633326 -0.17939 -0.387665 -0.425143 -0.313156 -0.029312 -0.491189 -0.675601 -0.397484 -0.401189 -0.53747 -0.461758 -0.521352 -0.345735 -0.340122 -0.571735 -0.626647 -0.522652 -0.336817 -0.347108 -0.013514 -0.359513 -0.318188 -0.57971 -0.498656 -0.317047 -0.133634 -0.404006 -0.303382 -0.536332 -0.651247 -0.020011 -0.381503 -0.246062 -0.477807 0.031016 -0.290239 -0.711495 -0.379336 -0.409311 -0.427053 -0.478764 -0.46707 -0.706594 -0.573746 -0.708552 -0.726495 -0.638369 -0.560831 -0.607808 -0.447518 -0.647296 -0.60752 -0.785359 -0.719336 -0.660921 -0.327869 -0.748809 -0.593411 -0.657431 -0.76083 -0.444282 -0.513641 -0.562052 -0.471703 -0.408094 -0.523807 -0.812458 -0.677996 -0.633723 -0.637489 -0.678764 -0.761942
tBodyGyro.mean.X -0.016553 -0.018477 -0.020817 -0.009232 -0.021894 -0.007961 -0.002826 0.005354 -0.013632 -0.019556 -0.019174 -0.014655 -0.009736 0.005052 -0.01683 -0.016155 -0.023476 -0.025176 -0.031207 -0.023176 -0.030513 -0.020831 -0.01134 -0.014368 0.003727 -0.017066 -0.019543 -0.017368 -0.025828 -0.026781 -0.04535 -0.045471 -0.038537 -0.049444 -0.042236 -0.037244 -0.049638 -0.05474 -0.042329 -0.043243 -0.039998 -0.042416 -0.035512 -0.04404 -0.037711 -0.041201 -0.042549 -0.033306 -0.021415 -0.036406 -0.019871 -0.036043 -0.047258 -0.035623 -0.035205 -0.037022 -0.037183 -0.033902 -0.037927 -0.035843 -0.023988 -0.023862 -0.024663 -0.030645 -0.032271 -0.028252 -0.029158 -0.021967 -0.029183 -0.028185 -0.029314 -0.030003 -0.029549 -0.022089 -0.026243 -0.029934 -0.026958 -0.026587 -0.025091 -0.024134 -0.019173 -0.02752 -0.03274 -0.027861 -0.024795 -0.024535 -0.026732 -0.025328 -0.027608 -0.027614 -0.041831 -0.053026 -0.025641 -0.031798 -0.048892 -0.02551 0.002288 0.023509 -0.080836 0.010689 -0.042693 -0.104514 -0.017421 -0.003477 -0.055488 -0.015172 -0.009223 -0.03994 -0.027497 -0.02341 -0.045932 0.000777 -0.063116 -0.054513 -0.015631 -0.003341 -0.085588 -0.105896 -0.007957 -0.045951 -0.035078 -0.115947 -0.131573 -0.102839 -0.068295 -0.096084 -0.10541 -0.12119 -0.091638 -0.12484 -0.125069 -0.112532 -0.122672 -0.014708 -0.136619 -0.022537 0.067773 -0.057655 -0.205775 -0.111368 -0.126388 -0.077961 -0.057823 -0.086707 0.002991 -0.010752 -0.159827 -0.141096 -0.037413 -0.074559 0.050549 -0.057691 0.072198 0.039383 0.039519 -0.076741 -0.138778 0.192704 -0.163967 0.073345 -0.082091 -0.093123 -0.138294 0.081384 0.090334 0.071841 -0.030425 -0.047068 0.038854 0.065919 0.062609 0.134979 0.095794 0.088316 0.055612 -0.024795 -0.094034 -0.129363 0.093199 -0.00356
tBodyGyro.mean.Y -0.064486 -0.111801 -0.071851 -0.093013 -0.079871 -0.107218 -0.133606 -0.089137 -0.158903 -0.077033 -0.04156 -0.083554 -0.096625 -0.153424 -0.06197 -0.113675 -0.094458 -0.083759 -0.095263 -0.09549 -0.1138 -0.092572 -0.105053 -0.095554 -0.07164 -0.090323 -0.095784 -0.097449 -0.076181 -0.076148 -0.091924 -0.059929 -0.075241 -0.08943 -0.083548 -0.089908 -0.033612 -0.095509 -0.041427 -0.067999 -0.075528 -0.075198 -0.090269 -0.071348 -0.080343 -0.057453 -0.066925 -0.06858 -0.052021 -0.065069 -0.065308 -0.079362 -0.068433 -0.075013 -0.0748 -0.084065 -0.079735 -0.067394 -0.07558 -0.074354 -0.059397 -0.08204 -0.05851 -0.061825 -0.050988 -0.058982 -0.077434 -0.028012 -0.06081 -0.087682 -0.076547 -0.070008 -0.075321 -0.055811 -0.065964 -0.068668 -0.077063 -0.073226 -0.063143 -0.069831 -0.073812 -0.069007 -0.065226 -0.069255 -0.069888 -0.073139 -0.067507 -0.0739 -0.072106 -0.067033 -0.06953 -0.048238 -0.077915 -0.072691 -0.069014 -0.074446 -0.083711 -0.095792 -0.06256 -0.081954 -0.07051 -0.034429 -0.079847 -0.082968 -0.061243 -0.069596 -0.083977 -0.061373 -0.075157 -0.074105 -0.059029 -0.096088 -0.06402 -0.065844 -0.082077 -0.084151 -0.036535 -0.017282 -0.08196 -0.064917 -0.090937 -0.004823 -0.013936 -0.070403 -0.070781 -0.034178 -0.049717 -0.050076 -0.07126 -0.106743 -0.026278 -0.042734 -0.023721 -0.094529 -0.034676 -0.068265 -0.123517 -0.063621 0.027471 0.013902 0.016215 -0.069715 -0.085308 -0.05423 -0.101115 -0.100382 -0.016313 0.007106 -0.085105 -0.069311 -0.16617 -0.032088 -0.139275 -0.085947 -0.117196 -0.051898 -0.002472 -0.204205 -0.041259 -0.09546 -0.056693 -0.041131 0.00382 -0.1235 -0.154721 -0.048614 -0.054846 -0.052613 -0.134514 -0.174651 -0.155622 -0.181458 -0.111564 -0.105933 -0.109438 -0.06576 0.002125 0.021225 -0.152328 -0.077961
tBodyGyro.mean.Z 0.148689 0.144883 0.138 0.16972 0.159894 0.179102 0.15592 0.138188 0.101275 0.10472 0.152019 0.145192 0.11782 0.149124 0.113452 0.096621 0.11144 0.093778 0.108605 0.12368 0.098091 0.145004 0.111079 0.111731 0.139719 0.152436 0.118738 0.093579 0.127412 0.093847 0.062931 0.041228 0.094011 0.10115 0.082393 0.085435 0.025948 0.071605 0.080792 0.074596 0.076174 0.072846 0.082343 0.092852 0.095198 0.079574 0.086005 0.084814 0.096898 0.064288 0.083133 0.080443 0.064567 0.080044 0.085278 0.071111 0.083375 0.087025 0.05805 0.0702 0.074801 0.087835 0.066526 0.075564 0.069095 0.076739 0.085105 0.063689 0.099241 0.103252 0.081059 0.074257 0.085471 0.079048 0.076195 0.086734 0.088056 0.084319 0.071052 0.077367 0.086486 0.073347 0.081689 0.077125 0.085269 0.077671 0.071684 0.086517 0.082758 0.080251 0.084945 0.082834 0.081349 0.080568 0.081544 0.083881 0.06411 0.050966 0.11163 0.09867 0.084374 0.099974 0.078421 0.051322 0.084248 0.081865 0.075713 0.094472 0.079811 0.085136 0.098372 0.077527 0.1077 0.097201 0.086787 0.085107 0.118268 0.116066 0.085685 0.083957 0.090085 0.097174 0.123827 0.059264 0.080656 0.087001 0.116895 0.114144 0.116804 0.072443 0.057524 0.089543 0.111284 0.035334 0.071176 0.083538 0.016288 0.098747 0.163963 0.1039 0.14861 0.050071 0.09536 0.111974 0.098075 0.082221 0.152695 0.138622 0.082224 0.089577 0.05836 0.068837 0.02156 0.084375 0.042444 0.066423 0.139217 -0.072455 0.145695 0.087966 0.063805 0.089802 0.11668 -0.044138 0.091168 -0.007793 0.056093 0.090674 -0.000233 0.058702 -0.005468 0.015736 -0.032556 0.024829 0.099623 0.072146 0.14013 0.103721 0.085432 0.08147
